"net","mod","num","nnodes","nedges","edensity","aplength","mdegree","diameter","clusteringC","cb","cd"
"CS","CSR",182,616,1428,0.00753880266075388,21.8509256109471,4.63636363636364,70,0.598562013181546,0.179775347860732,0.0103473762010347
"CS","CSR",183,564,1182,0.00744491893730396,24.7650926645211,4.19148936170213,69,0.577461799660441,0.198524280622478,0.0120932693397831
"CS","CSR",184,613,1482,0.00790071330326584,16.0759007647352,4.83523654159869,41,0.608193720962973,0.191332960189828,0.0117071298339891
"CS","CSR",185,588,1376,0.00797320631830245,20.9674749045667,4.68027210884354,54,0.602906704172527,0.320351966523117,0.0107661463222427
"CS","CSR",186,597,1390,0.00781311479095702,24.3117213479014,4.65661641541038,67,0.588962892483349,0.308235415241724,0.0106432610479692
"CS","CSR",187,577,1242,0.00747400346620451,13.8590711625983,4.3050259965338,41,0.610491071428571,0.153812640482421,0.0133593298671288
"CS","CSR",188,576,1298,0.00783816425120773,11.626635250227,4.50694444444444,40,0.587497792689387,0.0417894521910382,0.00955314009661836
"CS","CSR",189,569,1256,0.00777246961558454,17.8156097705491,4.41476274165202,54,0.576327433628319,0.166116804577538,0.011593727567514
"CS","CSR",190,565,1210,0.00759430113600703,18.5394559535621,4.28318584070797,52,0.578636826042726,0.164447421229733,0.0119092449632838
"CS","CSR",191,630,1538,0.00776238423297247,17.7961169944528,4.88253968253968,44,0.595404727320745,0.129028633500533,0.0113155171978701
"CS","CSR",192,594,1275,0.00723934113478802,19.0741864077195,4.29292929292929,50,0.583236994219653,0.1892646862206,0.00962406527330642
"CS","CSR",193,560,1201,0.0076731408126757,20.7350440594622,4.28928571428571,54,0.575039808917197,0.176388622636142,0.0137937643751597
"CS","CSR",194,579,1312,0.00784074678332168,21.2856554246032,4.53195164075993,53,0.573476702508961,0.213120166876647,0.00946029127896206
"CS","CSR",195,572,1306,0.00799725668377157,12.913792653317,4.56643356643357,43,0.619993093922652,0.074165443728232,0.0112671916524806
"CS","CSR",196,633,1488,0.00743895854580359,22.945386077487,4.70142180094787,61,0.569355527102006,0.300963652568605,0.0115483832263483
"CS","CSR",197,586,1424,0.00830780899040285,11.0128394286611,4.86006825938567,34,0.613627200645075,0.0343092293882599,0.0156238149412211
"CS","CSR",198,564,1272,0.00801179093760629,9.28295500533461,4.51063829787234,27,0.629213483146067,0.0374254185434661,0.015078795208042
"CS","CSR",199,560,1233,0.00787758752875032,16.8449269583499,4.40357142857143,44,0.607703281027104,0.160627423495019,0.0135893176590851
"CS","Mat",1,545,1992,0.0134376686454398,3.85415972453627,7.31009174311927,15,0.779225290950148,0.012334678198905,0.0288417431192661
"CS","Mat",2,635,2465,0.0122457090340048,9.74666310731447,7.76377952755906,31,0.785824555030875,0.0599634598294068,0.0224546064234084
"CS","Mat",3,539,1875,0.0129318371485127,5.97748428673721,6.95732838589981,22,0.760680791941646,0.0255328294561472,0.0168079398031602
"CS","Mat",4,585,2067,0.0121004566210046,4.26039408866995,7.06666666666667,15,0.764187327823691,0.00465992395890701,0.015296803652968
"CS","Mat",5,605,2371,0.0129768485578239,5.25127177431787,7.83801652892562,17,0.772274550452927,0.0111373893801609,0.0234469925017788
"CS","Mat",6,572,2043,0.012510256818488,6.38748663980926,7.14335664335664,24,0.765507086324314,0.0196763973877572,0.0260186398540164
