"Source","Target","weight"
129,192,0.63124
129,212,1.01202
130,8,34.9996
130,36,0.95439
130,48,0.95627
130,69,3.34493
130,114,1.86301
131,2,18.58971
131,17,23.5837
131,61,1.28052
131,227,0.09119
132,1,27.84844
132,7,18.4255
132,9,3.94038
132,41,6.47997
132,150,0.193
133,4,21.55381
133,49,11.38212
133,53,2.66251
133,128,3.99496
135,1,31.92451
135,6,30.91147
135,9,24.10744
135,38,4.19754
135,42,4.67018
135,71,8.29295
137,64,0.00563
137,108,0.05239
137,261,0.12134
138,3,63.27925
138,11,34.15635
139,13,8.88957
139,14,10.93028
139,76,4.2038
139,141,0.73725
140,16,14.81505
140,66,2.50726
140,98,2.94243
140,218,0.16249
140,219,1.04372
141,76,2.62716
141,139,0.74975
142,2,40.66922
142,27,12.36721
143,49,2.48481
143,53,8.82423
143,68,5.1124
143,80,0.37759
143,263,0.42194
144,35,9.10723
144,40,2.58902
144,79,3.01465
145,50,6.52102
145,64,1.86101
145,82,4.87792
145,95,1.90157
146,27,13.42095
146,44,4.09766
146,77,4.4988
146,193,0.26698
147,15,16.63097
147,36,9.78423
147,113,5.10492
147,221,0.34812
148,18,39.50939
148,23,1.72173
149,2,4.78067
149,11,14.45551
149,65,4.59908
150,1,20.33724
150,7,44.2231
150,132,0.25229
151,8,42.04591
151,48,11.33053
152,9,36.05661
152,41,3.86797
152,62,3.92679
153,25,7.22993
153,58,6.81358
153,67,5.49636
153,109,0.8158
153,191,0.92067
154,12,9.12709
154,29,6.24224
154,124,2.22957
155,10,25.24648
155,30,11.41359
155,89,2.71835
155,123,2.42302
156,18,8.08305
156,75,2.31403
157,18,4.12321
157,29,17.55549
157,51,0.64827
157,213,0.21749
158,6,66.95204
158,42,20.43348
159,13,3.57083
159,14,13.68285
159,25,0.91548
159,88,3.34364
159,97,1.36102
160,1,38.93058
160,9,73.31719
160,38,3.35139
160,168,2.08314
161,3,55.89962
161,11,35.31114
162,15,25.75314
163,8,15.64071
163,48,13.11893
163,85,1.03168
163,175,0.46892
164,7,33.42105
165,3,10.48641
165,11,55.52426
166,44,7.89392
166,105,3.16139
167,64,10.49121
167,192,0.87861
167,241,0.25994
168,1,29.3957
168,9,68.8993
168,38,8.31803
168,160,2.31125
169,1,57.77946
169,2,52.60781
169,92,2.29951
169,174,0.07165
170,2,14.83015
170,11,2.0258
170,17,10.06555
170,94,1.73086
171,67,3.26967
171,109,2.55668
171,117,1.01763
172,7,44.22201
172,46,13.23964
173,4,17.72733
173,16,21.87771
173,49,0.83401
173,53,4.72706
173,80,0.25708
173,98,1.71988
174,1,36.13559
174,2,81.79335
174,169,0.0785
175,8,7.66309
175,15,7.16783
175,48,13.75516
175,69,1.76551
175,163,0.56637
176,8,6.27493
176,85,3.0488
177,78,1.01578
177,85,5.66121
177,108,2.33412
177,217,0.12369
178,10,31.78061
179,25,12.15256
179,63,7.1337
179,75,1.62417
179,97,2.54391
179,239,0.02366
180,4,73.84984
180,16,19.49419
180,49,4.36889
181,2,10.00788
181,11,31.94487
182,20,17.3472
182,39,12.55106
183,20,5.48557
183,46,1.43142
184,8,39.75989
184,74,4.6216
184,188,0.15344
185,36,3.25105
186,1,19.49783
186,2,63.63727
187,86,1.79413
188,8,17.69173
188,37,7.00872
188,74,9.42923
188,184,0.15906
189,5,47.86585
189,23,21.30583
190,1,65.04696
190,2,25.50009
190,258,0.15781
191,58,5.47242
191,67,11.22396
191,153,1.53668
192,64,11.1676
192,95,1.4337
192,129,1.57894
192,167,1.20486
193,27,10.47576
193,44,9.71755
193,146,0.48238
193,268,0.33237
194,24,4.72831
194,26,0.62371
195,1,191.86544
196,3,19.12942
196,30,5.19429
196,31,39.86417
197,20,21.6421
197,210,0.05134
198,18,0.17439
198,75,8.45256
199,11,11.45835
200,11,7.72884
200,17,12.50374
200,94,3.21875
201,8,112.66477
202,8,53.7258
203,101,1.05978
203,119,1.01673
204,5,0.01252
204,13,55.19799
204,14,58.12813
205,7,59.26159
205,122,3.19006
206,8,58.22808
206,48,12.83664
206,69,6.37357
207,7,11.44822
207,20,10.12103
207,46,15.97409
208,43,15.58475
209,35,11.02347
209,118,1.56594
210,20,5.6865
210,197,0.06535
210,232,0.47322
211,19,11.28799
211,30,11.96102
211,123,2.06505
211,214,0.8678
212,44,3.58776
212,129,3.52884
213,29,20.35732
213,50,7.05606
213,157,0.50174
214,19,21.62383
214,30,12.74567
214,211,0.93057
215,1,126.74224
215,2,52.52512
216,7,127.22199
217,78,7.31723
217,85,1.03384
217,108,3.79366
217,177,0.23122
218,16,22.5028
218,66,9.27267
218,140,0.50958
219,16,9.832
219,66,4.69459
219,140,3.30835
220,120,2.83093
221,15,22.87789
221,36,10.41216
221,113,1.03314
